country_name,country_id,year,Inflation (CPI %),GDP (Current USD),GDP per Capita (Current USD),Unemployment Rate (%),"Interest Rate (Real, %)","Inflation (GDP Deflator, %)",GDP Growth (% Annual),Current Account Balance (% GDP),Government Expense (% of GDP),Government Revenue (% of GDP),Tax Revenue (% of GDP),Gross National Income (USD),Public Debt (% of GDP)
Albania,al,2010,3.6271009151748,11926926615.8015,4094.34968570481,14.086,7.97103659621924,4.49314320031891,3.70693815255319,-11.3658658518304,23.0111069763437,23.9003193851567,18.0220132797796,11807769437.1323,69.6376739165201
Albania,al,2011,3.42807130141503,12890760315.146,4437.14116097061,13.481,9.88846223555399,2.31474379699794,2.54540614450104,-12.9331014515688,23.0111069763437,23.9003193851567,18.0220132797796,12894099798.9481,69.6376739165201
Albania,al,2012,2.03159268395296,12319834195.331,4247.63134315945,13.376,9.73611207346728,1.04271460643407,1.4172427999078,-10.2001762330966,23.007590723666,23.0507101156878,17.4832335567459,12228069196.1144,63.6691526405469
Albania,al,2013,1.93762080205223,12776224496.9718,4413.06338346821,15.866,9.51039749125922,0.288745964127756,1.00201754071108,-9.27418778932724,24.1607729474324,22.3049495093896,16.5032706123389,12996543353.0861,70.5807697920008
Albania,al,2014,1.62586504402604,13228147516.1168,4578.63320812155,18.055,6.32455753333484,1.54991706986272,1.77444885260394,-10.7753990397848,24.3826654387392,24.5250980968319,18.3019361358269,13349419700.4171,73.3202274771466
Albania,al,2015,3.50120835492657,11386853113.0189,3952.80357364813,17.193,7.27249242163997,0.563991350160876,2.21872637517804,-8.60488046763521,24.4461757489854,24.738150200759,18.5157898553099,11521811393.6203,79.8644181475793
Albania,al,2016,-0.367317209784652,11861199830.8396,4124.05538986272,15.418,7.41372325944537,-0.632653419095547,3.31498068384137,-7.59082599857198,23.9567294338323,24.2785737521554,17.590229809729,12053832974.203,80.7355819675527
Albania,al,2017,2.06059845920226,13019726211.7369,4531.03220675893,13.616,4.70106853289222,1.45073158124514,3.80259872019053,-7.54422875202925,23.8675876185324,25.7331287923882,18.8874860606848,13051517643.6213,75.8887278169195
Albania,al,2018,2.02805963071135,15379509891.7196,5365.48934672897,12.304,2.88052489157228,2.9665236560994,4.01934561695576,-6.60766413996776,22.9293200978631,25.1079065752234,18.2769508764808,15361070727.3542,63.6337624893814
Albania,al,2019,1.41109078954251,15585105131.0644,5460.42823730592,11.466,5.2229818174808,1.00059083830071,2.06256753999989,-7.82064680790707,22.8784056708212,24.8457261380567,17.9310014480832,15383523591.8511,74.8082829284774
Albania,al,2020,1.62088661717004,15241458744.8688,5370.77862312929,11.69,6.0772727041326,0.0410649973272115,-3.31371614712083,-8.62504716701021,24.6048161569975,23.7009816062144,16.8955410660668,14991229141.5555,83.4542023884025
Albania,al,2021,2.04147163139545,18032010563.7558,6413.28328605026,11.474,2.49145230404806,3.44439880912799,8.96955339178935,-7.59590759205624,24.3982953106337,25.0469485692247,18.0962068478767,17780838454.9845,81.9201331889469
Albania,al,2022,6.7252027153006,19017242585.7803,6846.42614266044,10.137,-3.05375879949315,9.86157415467682,4.82668831434437,-5.87243640069213,27.0031560091842,24.7316671433025,18.0607801341719,18686023829.0718,81.9201331889469
Albania,al,2023,4.75976421930106,23547179830.4413,8575.17113446213,10.108,0.269282388635442,6.06604947510885,3.93662525742167,-1.19632174783293,25.3755478830869,24.6966618604512,17.7598691790862,23246482646.2791,81.9201331889469
Armenia,am,2010,8.17636138473952,9260285755.62424,3041.34450723339,19.523,10.6076357898925,7.76871548067652,2.2000000002151,-13.6219482985734,22.9973623470093,22.6479513525881,17.0700513990102,9718566996.01031,50.0284206863703
Armenia,am,2011,7.65000807859294,10142111824.5835,3349.55309771906,18.884,12.9197578932998,4.28154999826118,4.69999999867412,-10.4403281934474,22.5680163171222,22.7264264431653,17.2194190490991,10502185416.5704,50.0284206863703
Armenia,am,2012,2.55802007757907,10619320682.9474,3511.56399687426,17.511,11.2811932906832,5.34580441814725,7.20000000096486,-9.96233164214969,21.3736421560682,22.597804052938,17.4916420766113,11042356845.1045,50.0284206863703
Armenia,am,2013,5.78966778544651,11121464437.0415,3680.16692158886,16.576,12.2168430436348,3.36682464224465,3.3,-7.31624657065382,22.6371817977093,24.1168167453311,21.5862138752919,11804011412.1342,50.0284206863703
Armenia,am,2014,2.98130868933672,11609513246.7958,3852.11800610384,17.498,13.7812486601176,2.30918242990974,3.60000000058993,-7.76786633240124,23.9875580530759,24.5145567085198,21.5991745525223,12131729269.7992,50.0284206863703
Armenia,am,2015,3.73169119261693,10553337518.414,3512.39350276709,18.261,16.1800096730379,1.21390990471085,3.19999999896625,-2.66180705584758,25.0779813488419,23.0924926716717,20.931220827141,10981745035.9775,50.0284206863703
Armenia,am,2016,-1.403607559009,10546136235.5219,3524.42476874707,17.617,17.0423595080455,0.268575076501392,0.199999999825991,-0.956577968660235,25.7115181584805,22.8347288893173,21.2773752756378,10791195836.7939,50.0284206863703
Armenia,am,2017,0.969553268816138,11527458709.0158,3869.05373867752,17.704,11.9973399575166,2.15064189848613,7.50000000164144,-1.260724020147,22.6297249923647,22.5254651052115,20.7806533587524,11933013892.6253,50.0284206863703
Armenia,am,2018,2.52023382001638,12457940694.7395,4196.00562301769,18.966,9.73397739946579,2.78770951425761,5.19999999965324,-7.2281230237955,22.0768137564949,22.4536343721739,20.8701039031814,12658281183.7745,50.0284206863703
Armenia,am,2019,1.44344660770698,13619290539.2116,4597.22887399548,18.304,10.9595785635957,1.06562263923419,7.59999999853918,-7.05686573000043,21.7584805720085,23.9412409977605,22.2851709900772,13807148386.5538,50.0284206863703
Armenia,am,2020,1.21143577838465,12641698583.2152,4268.68093304583,18.175,9.63911034033596,1.80659270159933,-7.19999999920631,-3.99777390668494,26.5812877778437,24.1447323127042,21.8604192761626,12439008672.029,63.4012140067668
Armenia,am,2021,7.18483629443371,13878908628.9378,4685.17997128509,15.469,4.5475881609954,6.90051365787157,5.80000000065645,-3.47997395796116,24.968529504044,23.3878288710777,22.0010047423132,13479935696.4488,60.080359768226
Armenia,am,2022,8.64091108973855,19513506553.1251,6571.97445545099,13.379,3.45742932246251,7.98587852828175,12.5999999997766,0.331693235139525,21.1627548327889,23.4564175842604,21.8271552378304,18991671827.7595,46.5518225541677
Armenia,am,2023,1.98041877615554,24085749592.3359,8053.01066312345,13.245,9.45938580104027,2.67300354889213,8.29999999959539,-2.3097864408313,21.034321345275,23.9751667767644,22.4818625824234,23434106610.7827,48.2562845172053
Australia,au,2010,2.91834002677376,1148838233480.72,52144.6654705468,5.214,6.05552716660896,1.15377249328591,2.21998026536549,-4.00506862277956,26.7049854253781,23.2984646429333,20.4779954643102,1104203146194.09,28.6633975352712
Australia,au,2011,3.3038501560874,1398610616772.97,62605.600458306,5.083,1.44585192040902,6.20197668065047,2.40708018291988,-3.26400930085158,25.9965923165691,22.7076209026202,20.3225244773041,1342423020459.19,30.0953996273683
Australia,au,2012,1.76278015613196,1547532281116.4,68072.8732340801,5.225,5.07761464495177,1.8056989221342,3.91670942454073,-4.44404469042498,26.1190161107402,23.4348034100556,21.0990859163958,1500404222891.8,39.441661369273
Australia,au,2013,2.4498886414254,1577123329410.88,68190.7010035651,5.663,6.35316102456067,-0.163600551424906,2.60219339436559,-3.25799888383101,25.8800823016892,24.4530730105492,21.9443416287694,1537801711446.54,37.5600008066242
Australia,au,2014,2.48792270531404,1468265356427.76,62544.0873773726,6.078,4.4816194821113,1.40539601622476,2.59528411594042,-3.09266163288854,26.2576336510283,24.3633439690171,21.897878678174,1429834007640.0,41.7223304965257
